ATAU   250     1.120     0.010  CLOUD-top sub-layers: max#, factor, min dtau
NW-SCATTER   56  ! Scattering phase fns, scale extinct @ 999 nm    (mjp 99/07)
 w(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
10 W_C08 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=8.0um / alpha=6)
  300  2.0539  12.00  1000.0  1.0000  1.000 2.619 4.013 4.798 5.476 6.232 6.870 7.780
  400  2.0643  12.00  1000.0  1.0000  1.000 2.611 3.999 4.773 5.451 6.194 6.826 7.716
  600  2.0883  12.00  1000.0  1.0000  1.000 2.589 3.965 4.712 5.394 6.121 6.744 7.599
  999  2.1236  12.00  1000.0  1.0000  1.000 2.563 3.917 4.625 5.302 5.992 6.593 7.385
11 W_C13 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=13.3um / alpha=6)
  300  2.0440  20.00  1000.0  1.0000  1.000 2.627 4.026 4.822 5.499 6.264 6.907 7.833
  400  2.0529  20.00  1000.0  1.0000  1.000 2.620 4.014 4.800 5.477 6.234 6.872 7.783
  600  2.0716  20.00  1000.0  1.0000  1.000 2.604 3.990 4.755 5.435 6.178 6.807 7.690
  999  2.0978  20.00  1000.0  1.0000  1.000 2.585 3.955 4.691 5.368 6.077 6.688 7.520
12 W_L06 = water cloud (Lac(is) n=1.335, r-mode=5.5um / alpha=11/3)
  300  2.0616  10.00  1000.0  1.0000  1.000 2.613 4.002 4.779 5.458 6.205 6.839 7.735
  400  2.0747  10.00  1000.0  1.0000  1.000 2.601 3.984 4.745 5.425 6.158 6.785 7.657
  600  2.1005  10.00  1000.0  1.0000  1.000 2.580 3.947 4.679 5.359 6.070 6.684 7.514
  999  2.1423  10.00  1000.0  1.0000  1.000 2.545 3.884 4.568 5.244 5.909 6.496 7.250
13 Ice-H = hexagonal ice cloud (Mishchenko)
  300  2.0000    67.   917.0  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
  400  2.0000    67.   917.0  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
  600  2.0000    67.   917.0  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
  999  2.0000    67.   917.0  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
14 Ice-I = irregular ice cloud (Mishchenko)
  300  2.0000    50.   917.0  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
  400  2.0000    50.   917.0  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
  600  2.0000    50.   917.0  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
  999  2.0000    50.   917.0  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 Mdust 0.15 = mineral dust (R.V.Martin)
  300  3.0039  0.150  2500.0  0.884 1.000 2.030 2.363 2.082 1.710 1.290  0.941  0.638
  400  2.4763  0.150  2500.0  0.937 1.000 1.988 2.151 1.735 1.248 0.809  0.503  0.279
  600  1.2768  0.150  2500.0  0.979 1.000 1.816 1.675 1.075 0.604 0.281  0.132  0.049
  999  0.3595  0.150  2500.0  0.958 1.000 1.320 0.994 0.377 0.126 0.031  0.008  0.001
16 Mdust 0.25 = mineral dust (R.V.Martin)
  300  2.9406  0.250  2500.0  0.820 1.000 2.046 2.643 2.593 2.634 2.406  2.244  1.944
  400  3.1046  0.250  2500.0  0.913 1.000 2.021 2.486 2.264 2.047 1.671  1.362  1.039
  600  2.6144  0.250  2500.0  0.980 1.000 2.026 2.296 1.926 1.470 1.013  0.668  0.403
  999  1.2426  0.250  2500.0  0.974 1.000 1.824 1.689 1.087 0.611 0.286  0.134  0.050
