Cloud-J v7.5+ NEW extended cloud scattering and absorption for 12:18 (old FJ) & 19:27 (+RRTM)
  03 = liquid-water Mie, ice-water irregular&warm, ice-water hexagonal&cold
  06 = number of effective radii (microns)
Use bin#12 for bins#1:#11 (very little light in trop)
water clouds use std Mie with liquid-water refr index & C1/Deirmenjian gamma distrib: alfa=6, Reff given, rho=1.00
ice   clouds use Mie with ice-water refr index to get PI0, Q, rho = 0.917
           scattering uses Mishchenko 8-term phase fn for all sizes with cold (hexag) & warm (irreg)
FJ# Weff Reff  Geff  NReal NImag   Q-ext PI0=ssa P1:P7
Liquid Water 1.00000
13 0.303 12.0 312.8 1.333 5.4E-09 2.055 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
13 0.303 24.0 1251. 1.333 5.4E-09 2.034 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
13 0.303 48.0 5004. 1.333 5.4E-09 2.021 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
13 0.303 95.519927. 1.333 5.4E-09 2.013 0.99998 2.257 3.164 4.096 5.088 6.018 6.897 7.794

14 0.310  3.0  19.5 1.332 5.1E-09 2.142 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
14 0.310  6.0  78.2 1.332 5.1E-09 2.088 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
14 0.310 12.0 312.8 1.332 5.1E-09 2.055 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
14 0.310 24.0 1251. 1.332 5.1E-09 2.034 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
14 0.310 48.0 5004. 1.332 5.1E-09 2.022 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
14 0.310 95.519927. 1.332 5.1E-09 2.014 0.99998 2.257 3.164 4.096 5.088 6.018 6.897 7.794

15 0.316  3.0  19.5 1.331 4.8E-09 2.138 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 0.316  6.0  78.2 1.331 4.8E-09 2.089 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 0.316 12.0 312.8 1.331 4.8E-09 2.056 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 0.316 24.0 1251. 1.331 4.8E-09 2.035 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 0.316 48.0 5004. 1.331 4.8E-09 2.022 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 0.316 95.519927. 1.331 4.8E-09 2.014 0.99998 2.257 3.164 4.096 5.088 6.018 6.897 7.794

16 0.333  3.0  19.5 1.328 4.3E-09 2.142 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
16 0.333  6.0  78.2 1.328 4.3E-09 2.089 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
16 0.333 12.0 312.8 1.328 4.3E-09 2.058 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
