(fort10_06b) UCI J-v8.4 (4/06) JPL02+irHNO4+IUPAC/NO2/VOC+Blitz +flux2006     
HNO4   298 3.105E-18 6.120E-18 6.954E-18 7.486E-18 4.751E-18 2.866E-18
           2.220E-18 1.840E-18 2.806E-19 2.208E-19 1.538E-19 2.601E-20
           1.103E-20 5.239E-21 2.793E-21 2.250E-22 0.000E+00 4.792E-23
ClNO3a 210 1.194E-19 3.411E-19 6.382E-19 1.137E-18 1.621E-18 1.789E-18
           1.936E-18 2.025E-18 2.000E-19 2.847E-19 2.070E-19 2.113E-20
           1.125E-20 6.895E-21 4.722E-21 2.354E-21 9.486E-22 6.713E-24
ClNO3a 296 1.282E-19 3.661E-19 6.817E-19 1.217E-18 1.691E-18 1.808E-18
           1.933E-18 2.009E-18 2.313E-19 3.034E-19 2.143E-19 2.760E-20
           1.542E-20 9.855E-21 6.949E-21 3.329E-21 1.168E-21 9.354E-24
ClNO3b 210 7.960E-20 2.274E-19 4.255E-19 7.580E-19 1.080E-18 1.192E-18
           1.291E-18 1.350E-18 1.333E-19 1.898E-19 1.380E-19 1.408E-20
           7.500E-21 4.347E-21 2.460E-21 7.192E-22 2.663E-23 0.000E+00
ClNO3b 296 8.550E-20 2.441E-19 4.544E-19 8.114E-19 1.127E-18 1.205E-18
           1.289E-18 1.339E-18 1.542E-19 2.023E-19 1.429E-19 1.840E-20
           1.028E-20 6.210E-21 3.618E-21 1.031E-21 3.292E-23 0.000E+00
Cl2    200 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.777E-21 2.162E-20 4.789E-20 8.147E-20
           1.387E-19 1.880E-19 2.284E-19 2.549E-19 6.256E-20 6.399E-22
Cl2    300 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 5.189E-21 2.557E-20 5.321E-20 8.674E-20
           1.403E-19 1.849E-19 2.205E-19 2.436E-19 6.516E-20 6.748E-22
HOCl   297 0.000E+00 0.000E+00 6.024E-21 5.363E-21 5.123E-20 5.423E-20
           5.793E-20 6.702E-20 1.021E-19 6.538E-20 5.427E-20 5.567E-20
           6.067E-20 5.957E-20 5.378E-20 3.123E-20 6.548E-21 1.195E-23
HOCl   298 0.000E+00 0.000E+00 6.024E-21 5.363E-21 5.123E-20 5.423E-20
           5.793E-20 6.702E-20 1.021E-19 6.538E-20 5.427E-20 5.567E-20
           6.067E-20 5.957E-20 5.378E-20 3.123E-20 6.548E-21 1.195E-23
OClO   204 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 2.590E-19 4.774E-19 7.317E-19 1.163E-18
           1.806E-18 2.524E-18 3.061E-18 4.703E-18 3.328E-18 3.958E-20
OClO   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 2.590E-19 4.774E-19 7.317E-19 1.163E-18
           1.806E-18 2.524E-18 3.061E-18 4.703E-18 3.328E-18 3.958E-20
Cl2O2  229 1.769E-18 3.509E-18 4.077E-18 4.468E-18 3.491E-18 2.731E-18
           2.406E-18 2.210E-18 3.736E-18 1.901E-18 1.277E-18 9.342E-19
           6.254E-19 4.338E-19 3.062E-19 1.569E-19 2.717E-20 1.598E-22
Cl2O2  230 1.769E-18 3.509E-18 4.077E-18 4.468E-18 3.491E-18 2.731E-18
           2.406E-18 2.210E-18 3.736E-18 1.901E-18 1.277E-18 9.342E-19
           6.254E-19 4.338E-19 3.062E-19 1.569E-19 2.717E-20 1.598E-22
ClO    297 0.000E+00 0.000E+00 1.700E-20 1.348E-20 1.942E-19 3.038E-19
           3.488E-19 3.899E-19 4.613E-18 3.043E-18 1.697E-18 1.304E-18
           4.511E-19 1.512E-19 5.199E-20 2.434E-21 0.000E+00 0.000E+00
ClO    298 0.000E+00 0.000E+00 1.700E-20 1.348E-20 1.942E-19 3.038E-19
           3.488E-19 3.899E-19 4.613E-18 3.043E-18 1.697E-18 1.304E-18
           4.511E-19 1.512E-19 5.199E-20 2.434E-21 0.000E+00 0.000E+00
BrO    297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
